Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
Money Matters,Episode 87,28.06,Business,22.02,Wednesday,Morning,,1,Neutral,13.91302399
Tech Talks,Episode 72,85.73,Technology,57.22,Wednesday,Afternoon,50.33,1,Neutral,37.21515009
Finance Focus,Episode 40,107.4,Business,61.43,Wednesday,Morning,42.5,1,Neutral,84.99019532
Tune Time,Episode 63,55.46,Music,77.41,Wednesday,Night,46.44,0,Negative,55.46
Fitness First,Episode 35,18.7,Health,54.88,Wednesday,Evening,32.13,0,Negative,9.607473154
Comedy Corner,Episode 90,102.22,Comedy,30.75,Wednesday,Night,32.77,3,Neutral,42.55462372
Daily Digest,Episode 27,12.39,News,76.78,Wednesday,Morning,11.42,2,Positive,7.135310518
Melody Mix,Episode 26,,Music,88.46,Wednesday,Evening,84.36,0,Neutral,74.62926116
World Watch,Episode 36,12.12,News,53.16,Wednesday,Evening,80.92,3,Neutral,7.449941787
Finance Focus,Episode 54,50.17,Business,95.92,Wednesday,Night,60.57,0,Negative,47.05409139
Fitness First,Episode 75,107.14,Health,42.16,Wednesday,Night,64.01,0,Neutral,88.23904095
Educational Nuggets,Episode 56,41.12,Education,92.1,Wednesday,Evening,65.9,3,Positive,39.62723316
Business Insights,Episode 75,56.13,Business,76.56,Wednesday,Afternoon,76.93,1,Positive,40.91394124
Study Sessions,Episode 65,32.42,Education,65.37,Wednesday,Afternoon,75.35,3,Neutral,29.15166994
Game Day,Episode 47,109.38,Sports,61.3,Wednesday,Night,44.34,3,Positive,67.41690276
Crime Chronicles,Episode 84,60.58,True Crime,50.08,Wednesday,Afternoon,90.29,1,Neutral,
Sport Spot,Episode 95,,Sports,29.86,Wednesday,Afternoon,93.65,3,Negative,29.40347635
Life Lessons,Episode 14,90.01,Lifestyle,66.52,Wednesday,Night,11.7,0,Negative,86.18061172
Joke Junction,Episode 66,16.54,Comedy,30.29,Wednesday,Morning,77.37,2,Negative,16.54
Joke Junction,Episode 21,63.24,Comedy,44.74,Wednesday,Night,36.63,1,Neutral,41.21682537
Market Masters,Episode 24,,Business,71.3,Wednesday,Afternoon,20.04,2,Negative,66.66448556
Mystery Matters,Episode 46,48.39,True Crime,72.45,Wednesday,Morning,26.7,0,Positive,48.39
Athlete's Arena,Episode 14,100.61,Sports,40.81,Wednesday,Afternoon,35.19,1,Negative,65.96558182
Money Matters,Episode 79,,Business,92.48,Wednesday,Afternoon,96.88,0,Positive,
Sports Weekly,Episode 13,72.64,Sports,34.68,Wednesday,Evening,83.57,1,Negative,49.54202024
Tech Trends,Episode 38,100.57,Technology,45.22,Wednesday,Morning,52.89,2,Positive,83.31217562
Life Lessons,Episode 25,74.43,Lifestyle,87.05,Wednesday,Afternoon,55.86,2,Positive,47.49533628
Funny Folks,Episode 45,118.89,Comedy,80.25,Wednesday,Morning,60.27,0,Positive,97.00431408
Daily Digest,Episode 76,35.28,News,70.03,Wednesday,Morning,38.9,3,Neutral,26.96876336
Sports Central,Episode 34,28.54,Sports,42.62,Wednesday,Afternoon,31.83,3,Negative,10.80847349
Game Day,Episode 8,62.17,Sports,72.96,Wednesday,Afternoon,69.12,0,Neutral,41.51862224
Sport Spot,Episode 3,,Sports,91.78,Wednesday,Night,9.2,3,Neutral,0.0
Game Day,Episode 11,90.93,Sports,42.6,Wednesday,Afternoon,96.01,2,Neutral,71.98677246
Joke Junction,Episode 57,,Comedy,78.91,Wednesday,Morning,,3,Positive,6.26
Life Lessons,Episode 59,53.11,Lifestyle,56.81,Wednesday,Evening,49.65,1,Positive,45.46241649
Tune Time,Episode 82,63.34,Music,75.32,Wednesday,Evening,49.13,3,Negative,21.75361914
Learning Lab,Episode 59,12.12,Education,26.34,Wednesday,Evening,72.21,3,Neutral,2.813415543
Comedy Corner,Episode 63,71.0,Comedy,81.65,Wednesday,Morning,76.23,1,Neutral,47.16955535
Learning Lab,Episode 44,74.19,Education,57.58,Wednesday,Night,81.84,3,Negative,
Mystery Matters,Episode 69,105.42,True Crime,91.12,Wednesday,Night,21.72,2,Neutral,91.56087437
Fitness First,Episode 86,,Health,90.14,Wednesday,Night,68.8,1,Neutral,118.9742491
Tech Talks,Episode 68,103.76,Technology,79.09,Wednesday,Afternoon,70.95,1,Negative,87.20105395
Digital Digest,Episode 94,64.59,Technology,52.49,Wednesday,Morning,41.12,2,Neutral,50.56337848
Laugh Line,Episode 25,6.67,Comedy,60.3,Wednesday,Evening,,1,Positive,6.67
Fitness First,Episode 62,90.34,Health,86.14,Wednesday,Night,91.43,2,Positive,65.1984702
Sport Spot,Episode 99,32.17,Sports,53.21,Wednesday,Evening,85.74,2,Neutral,18.28331999
Melody Mix,Episode 80,83.43,Music,55.29,Wednesday,Night,6.74,3,Negative,61.72773732
Finance Focus,Episode 27,109.58,Business,98.69,Wednesday,Evening,51.88,0,Positive,95.27312183
Digital Digest,Episode 38,50.26,Technology,89.83,Wednesday,Evening,45.3,2,Neutral,
Fitness First,Episode 22,46.59,Health,53.15,Wednesday,Afternoon,6.17,3,Positive,27.31188641
Sound Waves,Episode 59,,Music,70.46,Wednesday,Afternoon,71.78,2,Positive,4.130165402
Money Matters,Episode 93,61.63,Business,32.75,Wednesday,Morning,91.63,1,Neutral,60.48501333
Mind & Body,Episode 59,62.85,Health,53.96,Wednesday,Afternoon,54.98,1,Negative,31.23229055
Detective Diaries,Episode 23,37.35,True Crime,29.55,Wednesday,Morning,14.68,3,Neutral,34.66922885
Fitness First,Episode 27,28.55,Health,71.44,Wednesday,Night,2.12,2,Positive,23.897988
Home & Living,Episode 2,99.78,Lifestyle,71.74,Wednesday,Evening,2.85,2,Positive,52.37953042
Comedy Corner,Episode 72,83.85,Comedy,80.49,Wednesday,Morning,78.62,1,Positive,58.05243076
Mystery Matters,Episode 86,57.92,True Crime,21.22,Wednesday,Night,63.06,3,Neutral,32.04948955
Learning Lab,Episode 99,90.16,Education,60.75,Wednesday,Evening,26.78,1,Positive,
Tune Time,Episode 55,7.36,Music,98.61,Wednesday,Evening,30.1,2,Positive,2.048780174
Athlete's Arena,Episode 43,68.25,Sports,31.75,Wednesday,Night,45.99,3,Negative,46.09374045
Humor Hub,Episode 50,86.71,Comedy,43.16,Wednesday,Morning,54.3,1,Negative,50.53990259
Innovators,Episode 59,,Technology,94.2,Wednesday,Morning,,1,Positive,38.08500157
Home & Living,Episode 83,72.26,Lifestyle,85.12,Wednesday,Evening,51.22,0,Negative,57.07665923
Daily Digest,Episode 68,,News,59.63,Wednesday,Afternoon,20.63,1,Negative,
Music Matters,Episode 17,58.39,Music,87.99,Wednesday,Morning,19.76,2,Negative,24.84745932
Market Masters,Episode 22,109.04,Business,59.35,Wednesday,Evening,94.53,0,Neutral,53.14810163
Fashion Forward,Episode 96,110.95,Lifestyle,96.38,Wednesday,Morning,4.24,3,Negative,94.51462404
Digital Digest,Episode 37,107.85,Technology,94.49,Wednesday,Night,,2,Positive,88.05044588
Global News,Episode 4,60.66,News,84.71,Wednesday,Morning,72.7,2,Neutral,
Sports Weekly,Episode 63,,Sports,40.82,Wednesday,Night,21.71,0,Neutral,32.06813686
Digital Digest,Episode 72,36.69,Technology,76.89,Wednesday,Afternoon,,2,Positive,14.86592132
Fitness First,Episode 41,15.69,Health,49.36,Wednesday,Evening,2.34,2,Neutral,13.47239225
Healthy Living,Episode 37,99.32,Health,41.2,Wednesday,Morning,89.38,1,Negative,45.32530919
Music Matters,Episode 5,113.47,Music,33.58,Wednesday,Afternoon,15.93,1,Positive,104.2994977
Money Matters,Episode 99,,Business,66.65,Wednesday,Afternoon,99.53,1,Positive,
Sound Waves,Episode 56,58.71,Music,49.36,Wednesday,Night,10.17,2,Neutral,41.38724604
Sports Central,Episode 38,103.32,Sports,61.58,Wednesday,Night,95.37,3,Negative,
Humor Hub,Episode 47,59.2,Comedy,27.06,Wednesday,Afternoon,59.56,2,Positive,54.38093165
Global News,Episode 85,109.31,News,38.48,Wednesday,Afternoon,29.12,3,Neutral,58.07135277
Mystery Matters,Episode 86,86.43,True Crime,66.72,Wednesday,Night,96.35,3,Neutral,59.65206034
Home & Living,Episode 35,117.75,Lifestyle,28.37,Wednesday,Night,3.23,1,Negative,117.75
Joke Junction,Episode 49,115.26,Comedy,54.8,Wednesday,Afternoon,97.43,1,Neutral,113.3288464
Sports Central,Episode 59,92.84,Sports,43.16,Wednesday,Evening,59.42,1,Negative,72.23509715
Tech Talks,Episode 2,6.12,Technology,87.51,Wednesday,Morning,84.87,3,Neutral,6.12
Wellness Wave,Episode 16,77.18,Health,48.36,Wednesday,Morning,66.5,3,Neutral,
Laugh Line,Episode 37,27.04,Comedy,36.39,Wednesday,Afternoon,79.6,3,Negative,8.953539765
Music Matters,Episode 99,20.87,Music,84.31,Wednesday,Afternoon,66.57,3,Positive,18.64680333
Business Insights,Episode 11,90.12,Business,20.57,Wednesday,Afternoon,77.39,3,Neutral,72.83778699
Life Lessons,Episode 59,62.86,Lifestyle,47.26,Wednesday,Evening,78.19,0,Positive,
Mind & Body,Episode 65,114.09,Health,38.94,Wednesday,Evening,44.29,0,Negative,108.2598087
Life Lessons,Episode 24,34.78,Lifestyle,72.65,Wednesday,Morning,7.42,0,Neutral,19.65938308
Innovators,Episode 93,59.07,Technology,33.2,Wednesday,Afternoon,89.64,3,Neutral,39.74769589
Fitness First,Episode 99,114.99,Health,52.16,Wednesday,Evening,22.94,3,Negative,63.97251132
Global News,Episode 20,65.39,News,72.44,Wednesday,Evening,38.17,1,Negative,38.09824232
